Time;Long;Lat;Height;H2S;SO2
31/10/2017 17:29:45;-61.6624300;16.0435800;1.8;-1.38105;0.474112211144529
31/10/2017 17:29:47;-61.6624300;16.0435800;1.8;-1.374849;0.129809709615074
31/10/2017 17:29:49;-61.6624300;16.0435800;1.8;-1.381189;0.70516445802059
31/10/2017 17:29:51;-61.6624300;16.0435800;1.8;-1.368158;0.247675244812854
31/10/2017 17:29:53;-61.6624300;16.0435800;1.8;-1.345045;0.463747993460856
31/10/2017 17:29:55;-61.6624300;16.0435800;1.8;-1.353024;0.701516953646205
31/10/2017 17:29:57;-61.6624300;16.0435800;1.8;-1.338947;0.981720709125511
31/10/2017 17:29:59;-61.6624300;16.0435800;1.8;-1.343657;0.874352720216848
31/10/2017 17:30:01;-61.6624300;16.0435800;1.8;-1.336803;0.705805475474335
31/10/2017 17:30:03;-61.6624300;16.0435900;1.8;-1.33894;0.770962792565115
31/10/2017 17:30:05;-61.6624300;16.0435800;1.8;-1.329638;0.835752656101249
31/10/2017 17:30:07;-61.6624300;16.0435800;1.8;-1.331804;0.432279413449578
31/10/2017 17:30:09;-61.6624300;16.0435800;1.8;-1.323536;0.404205329134129
31/10/2017 17:30:11;-61.6624300;16.0435800;1.8;-1.326111;0.680567712406628
31/10/2017 17:30:13;-61.6624300;16.0435800;1.8;-1.317896;0.614131618640386
31/10/2017 17:30:15;-61.6624300;16.0435800;1.8;-1.322634;0.135209080646746
31/10/2017 17:30:17;-61.6624300;16.0435800;1.8;-1.318604;0.721542793442495
31/10/2017 17:30:19;-61.6624300;16.0435800;1.8;-1.302935;0.699153347290121
31/10/2017 17:30:21;-61.6624300;16.0435800;1.8;-1.35013;0.336247896659188
31/10/2017 17:30:23;-61.6624300;16.0435800;1.8;-1.332922;0.012720052036457
31/10/2017 17:30:25;-61.6624300;16.0435800;1.8;-1.331249;0.395223576459102
31/10/2017 17:30:27;-61.6624300;16.0435800;1.8;-1.316807;0.852191503741778
31/10/2017 17:30:29;-61.6624300;16.0435800;1.8;-1.324585;0.330177291878499
31/10/2017 17:30:31;-61.6624300;16.0435800;1.8;-1.31945;0.498544581816532
31/10/2017 17:30:33;-61.6624300;16.0435800;1.8;-1.317957;0.115527030895464
31/10/2017 17:30:35;-61.6624300;16.0435800;1.8;-1.299305;0.219844812410884
31/10/2017 17:30:37;-61.6624400;16.0435800;1.8;-1.303175;0.637516328017227
31/10/2017 17:30:39;-61.6624400;16.0435800;1.8;-1.280233;0.095777588547208
31/10/2017 17:30:41;-61.6624400;16.0435800;1.8;-1.299995;0.682695418247022
31/10/2017 17:30:43;-61.6624400;16.0435800;1.8;-1.280249;0.035475960583426
31/10/2017 17:30:45;-61.6624400;16.0435800;1.8;-1.284897;0.875554760103114
31/10/2017 17:30:47;-61.6624400;16.0435800;1.8;-1.301615;0.771354347583838
31/10/2017 17:30:49;-61.6624400;16.0435700;1.8;-1.305876;0.946587585029192
31/10/2017 17:30:51;-61.6624300;16.0435600;1.8;-1.289742;0.633202632539906
31/10/2017 17:30:53;-61.6624200;16.0435500;1.8;-1.27294;0.52516433771234
31/10/2017 17:30:55;-61.6624200;16.0435400;1.8;-1.269993;0.281972344615497
31/10/2017 17:30:57;-61.6624100;16.0435400;1.8;-1.264547;0.008828664780594
31/10/2017 17:30:59;-61.6624100;16.0435400;1.8;-1.274509;0.127540926565416
31/10/2017 17:31:01;-61.6624100;16.0435300;1.8;-1.270643;0.131362417829223
31/10/2017 17:31:03;-61.6624200;16.0435200;1.8;-1.306738;0.858195944572799
31/10/2017 17:31:05;-61.6624200;16.0435100;1.8;-1.322874;0.372236687806435
31/10/2017 17:31:07;-61.6624200;16.0435000;1.8;-1.145947;0.919445354375057
31/10/2017 17:31:09;-61.6624300;16.0434900;1.8;5.471096;0.859091124380939
31/10/2017 17:31:11;-61.6624300;16.0434800;1.8;15.29209;0.043344314559363
31/10/2017 17:31:13;-61.6624400;16.0434700;1.8;28.25009;0.02182559191715
